"","Country.Region","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline","CumCaseNumber","IncCaseNumber","Continent","NumDate","CountryName","Date","StringencyIndex"
"1","Denmark",2020-02-15,-2,-1,-4,2,-6,0,0,0,"EU",0,"Denmark",2020-02-15,0
"2","Denmark",2020-02-16,-7,-7,-33,-5,-6,1,0,0,"EU",1,"Denmark",2020-02-16,0
"3","Denmark",2020-02-17,-3,-1,0,-3,-2,1,0,0,"EU",2,"Denmark",2020-02-17,0
"4","Denmark",2020-02-18,1,1,9,-1,-1,1,0,0,"EU",3,"Denmark",2020-02-18,0
"5","Denmark",2020-02-19,0,0,12,-2,-1,1,0,0,"EU",4,"Denmark",2020-02-19,0
"6","Denmark",2020-02-20,1,-1,-3,-1,-2,1,0,0,"EU",5,"Denmark",2020-02-20,0
"7","Denmark",2020-02-21,1,1,15,-1,-3,1,0,0,"EU",6,"Denmark",2020-02-21,0
"8","Denmark",2020-02-22,-6,-3,-24,-4,-3,1,0,0,"EU",7,"Denmark",2020-02-22,0
"9","Denmark",2020-02-23,1,-2,-9,0,0,0,0,0,"EU",8,"Denmark",2020-02-23,0
"10","Denmark",2020-02-24,-2,-1,12,2,2,0,0,0,"EU",9,"Denmark",2020-02-24,0
"11","Denmark",2020-02-25,-3,-3,-4,1,3,1,0,0,"EU",10,"Denmark",2020-02-25,0
"12","Denmark",2020-02-26,-2,-2,1,0,3,1,0,0,"EU",11,"Denmark",2020-02-26,0
"13","Denmark",2020-02-27,2,1,21,2,3,0,0,0,"EU",12,"Denmark",2020-02-27,11.11
"14","Denmark",2020-02-28,17,1,23,6,2,-1,0,0,"EU",13,"Denmark",2020-02-28,11.11
"15","Denmark",2020-02-29,10,-4,-17,5,0,0,0,0,"EU",14,"Denmark",2020-02-29,11.11
"16","Denmark",2020-03-01,21,-7,-5,5,1,0,0,0,"EU",15,"Denmark",2020-03-01,11.11
"17","Denmark",2020-03-02,11,-5,28,1,2,0,0,0,"EU",16,"Denmark",2020-03-02,11.11
"18","Denmark",2020-03-03,10,-5,9,-1,2,0,0,0,"EU",17,"Denmark",2020-03-03,20.37
"19","Denmark",2020-03-04,9,-5,16,1,2,0,0,0,"EU",18,"Denmark",2020-03-04,20.37
"20","Denmark",2020-03-05,10,-3,30,-1,2,0,0,0,"EU",19,"Denmark",2020-03-05,20.37
"21","Denmark",2020-03-06,7,-3,11,-2,1,0,0,0,"EU",20,"Denmark",2020-03-06,25.93
"22","Denmark",2020-03-07,10,-2,47,7,1,-1,0,0,"EU",21,"Denmark",2020-03-07,25.93
"23","Denmark",2020-03-08,11,-8,-7,-1,-2,0,0,0,"EU",22,"Denmark",2020-03-08,25.93
"24","Denmark",2020-03-09,5,-5,14,-3,0,1,0,0,"EU",23,"Denmark",2020-03-09,25.93
"25","Denmark",2020-03-10,3,-4,-6,-7,0,2,0,0,"EU",24,"Denmark",2020-03-10,31.48
"26","Denmark",2020-03-11,5,5,25,-10,-1,2,0,0,"EU",25,"Denmark",2020-03-11,37.96
"27","Denmark",2020-03-12,-11,22,-16,-36,-28,12,0,0,"EU",26,"Denmark",2020-03-12,37.96
"28","Denmark",2020-03-13,-28,-7,2,-48,-44,16,0,0,"EU",27,"Denmark",2020-03-13,62.96
"29","Denmark",2020-03-14,-31,-9,86,-36,-16,8,1,0.172486386080763,"EU",28,"Denmark",2020-03-14,65.74
"30","Denmark",2020-03-15,-33,-24,-8,-50,-22,8,2,0.172486386080763,"EU",29,"Denmark",2020-03-15,65.74
"31","Denmark",2020-03-16,-24,-14,50,-52,-50,17,3,0.172486386080763,"EU",30,"Denmark",2020-03-16,65.74
"32","Denmark",2020-03-17,-25,-4,38,-55,-52,18,4,0.172486386080763,"EU",31,"Denmark",2020-03-17,65.74
"33","Denmark",2020-03-18,-41,-21,11,-61,-54,20,4,0,"EU",32,"Denmark",2020-03-18,72.22
"34","Denmark",2020-03-19,-39,-20,104,-58,-55,19,6,0.344972772161525,"EU",33,"Denmark",2020-03-19,72.22
"35","Denmark",2020-03-20,-44,-22,64,-62,-56,21,9,0.517459158242288,"EU",34,"Denmark",2020-03-20,72.22
"36","Denmark",2020-03-21,-48,-21,85,-55,-27,11,13,0.68994554432305,"EU",35,"Denmark",2020-03-21,72.22
"37","Denmark",2020-03-22,-38,-25,49,-60,-28,9,13,0,"EU",36,"Denmark",2020-03-22,72.22
